title	url	duration
luiz gonzaga - sebastiana ft. guadalupe	https://www.youtube.com/watch?v=W3yNYGfWCtA&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=12	180
luiz gonzaga - asa branca ft. fagner, sivuca, guadalupe	https://www.youtube.com/watch?v=zsFSHg2hxbc&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=13	340
forró de qualidade 3 - elba ramalho (numa sala de reboco)	https://www.youtube.com/watch?v=XUsVjnfoYoo&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=15	198
luiz gonzaga o xote das meninas mandacaru quando fulora na seca 1953	https://www.youtube.com/watch?v=YI6Fy-fb9Ms&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=17	155
forróçacana - esverdear (video clipe)	https://www.youtube.com/watch?v=fUOfEERsriA&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=18	201
jackson do pandeiro - forró de surubime	https://www.youtube.com/watch?v=9jO_6m0f8bc&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=19	176
jackson do pandeiro morena bela	https://www.youtube.com/watch?v=drgkN7bPEJ4&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=20	163
como um anjo querubim, alceu valença.wmv	https://www.youtube.com/watch?v=PfdAFOceQDw&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=21	519
amelinha - frevo mulher	https://www.youtube.com/watch?v=T1cl1WO3uI8&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=22	238
elba ramalho _ bate coração	https://www.youtube.com/watch?v=1lbos8qVGqs&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=23	195
alceu valença - morena tropicana	https://www.youtube.com/watch?v=UgGJ4-923oQ&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=24	233
alceu valença - como dois animais	https://www.youtube.com/watch?v=_1KvAdx4mUY&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=25	252
alceu valença - anunciação (com legenda)	https://www.youtube.com/watch?v=PrdBUorYboU&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=26	289
alceu valença, petrolina juazeiro	https://www.youtube.com/watch?v=7vl4FEx2i8c&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=27	214
alceu valença - numa sala de reboco	https://www.youtube.com/watch?v=TtjKb0w1gsE&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=28	223
que nem vem vem	https://www.youtube.com/watch?v=OQJm2QUelY8&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=29	158
elba ramalho - na base da chinela	https://www.youtube.com/watch?v=Y08oSZXkj54&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=30	262
os 3 do nordeste - 01 forró do poeirão	https://www.youtube.com/watch?v=amG-Rf2n0vw&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=31	186
cacau com leite (retrato da bahia)	https://www.youtube.com/watch?v=8u8ar73fqxA&list=PL5gT53DRgLq5YrgSiQwDbgVBlRJ-qgA2i&index=32	144
toque toque sanfoneiro chico pessoa	https://www.youtube.com/watch?v=v7skrAX3rDY&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=1	178
alcalyno - pão de queijo e forró (forró stream)	https://www.youtube.com/watch?v=PLASbu0A4UY&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=2	198
frank aguiar - prenda (forró stream)	https://www.youtube.com/watch?v=pdleZ7h0lPY&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=3	224
dominguinhos, sivuca e oswaldinho - feira de mangaio (forró stream)	https://www.youtube.com/watch?v=zB3UQezH514&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=4	250
clara nunes - feira de mangaio (forró stream)	https://www.youtube.com/watch?v=TcP5ih3bk1U&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=5	200
luiz gonzaga - nem se despediu de mim (forró stream)	https://www.youtube.com/watch?v=3pcaABppEX8&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=6	227
